resto_id,nama_restoran,preferensi_makanan,lokasi_restoran,Harga_Rata-Rata_Makanan_di_Toko (Rp),rating_toko,jenis_suasana,toko_sering_diskon_(Ya/Tidak),variasi_makanan,pelayanan_khusus_pasangan_(Ya/Tidak),entertainment,keramaian_restoran,disajikan/ambil_sendiri,all_you_can_eat/ala_carte,Lokasi
RT225J1,Ayam Bakar Taliwang Papin,Indonesia,1.23 km,20000,4.5,Santai,Tidak,Ayam Taliwang,Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/eRBp3gzquAXKvgAV9
RT226J1,Gule Kepala Ikan Sangaji,Indonesia,1.37 km,15000,4.4,Santai,Tidak,"Gulai Ikan, Mie Ayam, Rawon",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/d9jGhPgbEJVKSy5P9
RT227J1,"Warung Sate & Gule Kambing Gedong Kuning ""Mbah So""",Indonesia,3.24 km,44000,4.5,Santai,Tidak,"Sate Kambing, Sate Klathak",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/c7HCYxVsyp5EkGkPA
RT228J1,Es Pisang Ijo Bamban Mandala,Indonesia,3.84 km,120000,4.3,Santai,Tidak,Es Pisang Ijo,Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/hTtxLRn3uCHpmVr79
RT229J1,RAWIT ABANG Ikan Pedas by Pelem Golek,Indonesia,3.7 km,26000,4.9,Santai,Tidak,"Mangut Ikan, Kopi",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/QkCNAJvMVrFPrUPLA
RT230J1,Joglo Pari Sewu ,Indonesia,3.63 km,32000,3.7,Santai,Tidak,"Nasi Pecel, Nasi Goreng",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/oZhHpVhLwyivdWUKA
RT231J1,"Waroeng spesial sambal ""SS"" Jakal KM 12",Indonesia,4.55 km,23000,4.1,Santai,Tidak,"Bebek Bakar, Ayam Bakar, Es Teh",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Y8yyfMG6WNMeTbmF6
RT232J1,Lesehan Pari Gogo ,Indonesia,3.71 km,73000,4.5,Santai,Tidak,"Es Teh, Es Jeruk, Es Teler, Es Campur",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/dUi4YDgwgxp4MBL19
RT233J1,Thiwul Yu tum ,Indonesia,2.35 km,17000,4.4,Santai,Tidak,"Gatot, Tiwul, Gethuk",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/aroKRcZNkSwCywg29
RT234J1,Pusat Oleh-oleh Walang Goreng Pak Gareng ,Indonesia,3.66 km,40000,4.3,Santai,Tidak,Tiwul,Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/LMsxDokHNwnt1Lsv9
RT235J1,Pawon Purba dan Homestay ,Indonesia,1.51 km,30000,4.6,Santai,Tidak,Nasi Rames,Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/V1m3dKRwc5UtZkZx8
RT236J1,Jogja paradise foodcourt ,Indonesia,1.1 km,19000,4.3,Santai,Tidak,"Ayam Taliwang, Roti Bakar ",Tidak,1,2,Disajikan,Ala Carte,https://maps.app.goo.gl/F4qrUpgVbNEzuEpS8
RT237J1,Warung Makan Ngangeni ,Indonesia,3.16 km,45000,4.6,Santai,Tidak,"Soto Ayam, Nasi Pecel, Nangka goreng ",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/6MYxPp4AR5pRQ7oR8
RT238J1,Warung Simbok Gunung Kidul,Indonesia,0.86 km,15000,4.5,Santai,Tidak,"Gudeg, Ayam Goreng, Kopi ",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/mWkHmgZRvAPwBVLH9
RT239J1,Rumah Makan Jawa Bu Sudar,Indonesia,1.52 km,42000,4.4,Santai,Tidak,"Nasi Tumpeng, Sayur Lodeh ",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/qYMs8n6sNfY2qWii8
RT240J1,Kopi Panggang dan Dhaharan Ndeso,Indonesia,1.43 km,10000,4.6,Santai,Tidak,"Nasi Bumbung, Ayam Goreng, Kopi, Wedang Uwuh",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/XxKvR5jQGdUvRJz46
RT241J1,RM Bu Tiwi Tan Tlogo,Indonesia,1.94 km,23000,4.4,Santai,Tidak,"Brongkos, Es Teh, Wedang Uwuh, Ayam Goreng ",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/yksysKeFRr8Z2GFA8
RT242J1,Ayam Goreng Sri Pendowo,Indonesia,4.06 km,17000,4.4,Santai,Tidak,"Ayam Goreng, Kopi",Tidak,2,2,Disajikan,Ala Carte,https://maps.app.goo.gl/cF6N5NvTnnRKzeb9A
RT243J1,Sate Kambing Pak Turut,Indonesia,3.31 km,25000,4.4,Santai,Tidak,"Es Teh, Es Jeruk, Sate Kambing, Gulai Kambing ",Tidak,4,2,Disajikan,Ala Carte,https://maps.app.goo.gl/HFtdSNUcdX3exWuK7
RT244J1,Ayam Goreng Kondang Rasa,Indonesia,5.13 km,36000,4.1,Santai,Tidak,"Ayam Goreng, Rendang",Tidak,2,3,Disajikan,Ala Carte,https://maps.app.goo.gl/WgcFtLA4an5tCLjQA
RT245J1,Pondok Makan Lesehan Griyo Wono,Indonesia,3.46 km,48000,4.2,Santai,Tidak,"Es Teh, Nasi Goreng, Ayam Goreng, Es Degan",Tidak,2,1,Disajikan,Ala Carte,https://maps.app.goo.gl/WKnX8v8B46FvJN476
RT246J1,Resto Indrayanti GK Yogyakarta Indonesia,Indonesia,0.31 km,13000,4.2,Santai,Tidak,"Es Kelapa Muda,Soto Ayam, Kepiting,Tempe Mendoan, Pisang Goreng, Tempe Goreng, Kopi, Nasi Goreng, Lobster, Udang Goreng, Es Jeruk, Es Teh, Mie Goreng, Tempe Tempe Mendoan, Gurame Goreng, Oseng Kangkung, Piya-piya ",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/Hq4AMSpxwGcPqmiv8
RT247J1,Kedai Lobster Pak Sis,Indonesia,1.18 km,14000,4.5,Santai,Tidak,"Lobster, Es Teh, Es Jeruk, Kepiting, Oseng Kangkung, Cumi-cumi, Ikan Goreng, Sambel, Udang Goreng",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/ycUyPmcTNUvPtSid7
RT248J1,Pondok Makan dan Pemancingan Sekar Kusuma,Indonesia,0.77 km,18000,4.4,Santai,Tidak,"Nila Bakar, Teh Poci, Ayam Bakar, Oseng Kankung, Teh Hangat, Kopi, Susu Jahe, Wedang Jahe, Wedang Tape, Lemon Tea, Es Jeruk, Es Kelapa Muda, Nasi Goreng, Gurame Bakar, Mangut Lele, Ayam Goreng, Singkong Goreng, Pisang Goreng, Tempe Tempe Mendoan",Tidak,1,3,Disajikan,Ala Carte,https://maps.app.goo.gl/kwuiTjJPqG7scbLg7
RT249J1,Omah Kupu꧋ꦎꦩꦃꦏꦸꦥꦸ,Indonesia,1.54 km,18000,4.4,Santai,Tidak,"Garang Asem, Kopi, Es Kelapa Muda, Es Jeruk, Tempe Tempe Mendoan, Pecel, Wedang Uwuh, Es Dawet, Gudeg, Soto Ayam, Sayur Lombok Ijo, Urap-Urap, Tempe Benguk",Tidak,3,1,Disajikan,Ala Carte,https://maps.app.goo.gl/zGmgSYW7LoZHyiBY9
RT250J1,Ayam Goreng Pak Parman,Indonesia,1.94 km,25000,4.3,Santai,Tidak,"Ayam Goreng Kremes, Oseng Kangkung, Telur Dadar, Tahu Goreng, Peyek, Teh Hangat,Wedang Uwuh, Susu Coklat, Sayur Lombok Ijo",Tidak,3,2,Disajikan,Ala Carte,https://maps.app.goo.gl/1db8rmUoGjQTat3c9
RT251J1,Bakmi Soto dan Ayam Goreng Mbah Noto,Indonesia,5.95 km,38000,4.5,Santai,Tidak,"Bakmi Godog, Bakmi Goreng, Magelangan, Ayam Goreng, Ayam Bakar, Rica-Rica, Sop Ayam, Nasi Goreng, Wedang Jahe, Es Jeruk, Jeruk Panas, Teh Hangat, Kopi, Teh Poci",Tidak,3,3,Disajikan,Ala Carte,https://maps.app.goo.gl/Yg5ZcpKp9dPs7wzC7
RT252J1,Soto Tan Proyek,Indonesia,4.62 km,22000,4.4,Santai,Tidak,"Soto Ayam, Soto Daging, Es Teh, Tempe Tempe Mendoan, Es Jeruk, Sate Usus, Perkedel, Sate Telur Puyuh, Piya-piya ",Tidak,4,1,Disajikan,Ala Carte,https://maps.app.goo.gl/qUPhfyAtWVb9QHCo9
RT253J1,Warung Lesehan Pak Kirun,Indonesia,5.03 km,49000,4.2,Santai,Tidak,"Ayam Goreng Kremes, Lele Bakar, Lele Sambel Ijo, Welut Mangut, Lele Mangut, Gurame Bakar, Nila Bakar, Nangka goreng ",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/RG773cpVWg1CAbKp6
RT254J1,Rumah Makan Seger Waras,Indonesia,3.28 km,33000,4.4,Santai,Tidak,"Ayam Goreng, Ayam Bakar, Nasi Ingkung, Burung Puyuh",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/jUGcF934kQDEuf7u9
RT255J1,The Manglung View & Resto,Indonesia,5.11 km,82000,4.4,Santai,Tidak,"Nasi Goreng, Roti Bakar, Iga Bakar, Nasi Rawon, Jus Mangga, Wedang Uwuh, Kwetiaw, Nasi Goreng, Fuyunghai, Bakmi Jowo, Pecel, Tongseng, Tomyam",Tidak,1,1,Disajikan,Ala Carte,https://maps.app.goo.gl/4TyneW3EVVfgxarb9
RT256J1,Gudeg Mbok Lindu ,Indonesia,1.45 km,20000,4.6,Santai,Tidak,"Nasi Gudeg, Bubur Gudeg, Es Teh, Es Jeruk, Air Mineral",Tidak,4,3,Disajikan,Ala Carte,https://maps.app.goo.gl/tpKNMrJJawbt4WW1A
